,alias,GAMMA_C4H8_Aspen,GAMMA_C4H6_Aspen,S_Aspen,VP_Aspen,GAMMA_Solvent,Alpha_Aspen,MW_Aspen,RHO_Aspen,CPMX_Aspen,MUMX_Aspen,set
201,C9H12-5,0.925383572,0.893725734,1.035422319,0.398028332,0.901138291,2.845635293,120.19428,856.858324,215.880735,0.660178117,test
202,C10H14-E1,0.804420505,0.751588083,1.070294385,0.097818541,0.622433889,3.540601934,134.22116,886.472353,262.662681,1.18343507,test
203,C10H14-E2,0.804420505,0.751588083,1.070294385,0.126243258,0.622433889,3.429814921,134.22116,873.236029,218.440889,1.12660939,train
204,C10H14-D3,0.804420505,0.751588083,1.070294385,0.082821776,0.622433889,3.612878578,134.22116,888.135936,247.087005,1.18330752,train
205,C10H14-E3,0.804420505,0.751588083,1.070294385,0.118495936,0.622433889,3.45731966,134.22116,872.325376,221.126108,1.01875408,test
206,C10H14-D1,0.88877022,0.896506472,0.991370668,0.160367367,0.909727721,3.237662462,134.22116,859.988166,233.448821,0.992563432,train
207,C10H14-8,0.88877022,0.896506472,0.991370668,0.136848875,0.909727721,3.306537229,134.22116,857.973913,251.989001,0.991932254,train
208,C10H14-5,0.890094133,0.897888933,0.991318748,0.2195374,0.912466779,3.100633501,134.22116,872.605212,223.89133,0.967020386,train
209,C10H14-6,0.890094133,0.897888933,0.991318748,0.232176703,0.912466779,3.076323377,134.22116,857.679699,226.272698,0.815140894,train
210,C10H14-E8,0.870580323,0.857295831,1.015495808,0.14084184,0.836894302,3.310864871,134.22116,869.798068,240.47474,1.02706458,train
211,C10H14-E9,0.870580323,0.857295831,1.015495808,0.152537409,0.836894302,3.276220196,134.22116,857.178217,233.28515,1.02945388,train
213,C12H18-D1,0.820023641,0.892429061,0.91886703,0.05241935,0.907291295,3.722471786,162.27492,853.134657,276.279956,1.76658165,train
215,C12H18,0.752581206,0.756081998,0.995369825,0.021728434,0.634685504,4.188118362,162.27492,863.661754,310.516831,1.74643429,train
219,C10H12-D3,0.975035057,0.9418707,1.035211157,0.092763059,0.975984192,3.466309903,132.20528,895.12379,219.360217,0.992199579,test
222,C4H10S-D1,0.951319053,0.819249606,1.161207825,6.18507857,0.799207037,1.668548181,90.1894,836.752156,173.426397,0.476447433,train
223,C4H10S-E2,0.952027047,0.819462465,1.16177017,9.27537325,0.799648722,1.492434883,90.1894,829.282729,171.178555,0.472855908,test
224,C4H10S-E1,0.926903283,0.863332661,1.073633982,10.7560589,0.858023118,1.42016247,90.1894,824.129496,171.068193,0.479355557,train
226,C10H12-D2,0.975035057,0.9418707,1.035211157,0.096483289,0.975984192,3.449232864,132.20528,890.580119,224.865346,1.02908451,test
227,C6H14S,0.840183458,0.775914958,1.082829309,0.596097462,0.698841867,2.719254396,118.24316,838.697963,219.673194,0.712741728,train
228,C9H20S,0.714121647,0.703017473,1.015795019,0.015384321,0.537681955,4.378498782,160.3238,841.667923,313.675284,1.28381797,train
229,C8H18S-D1,0.751876542,0.727201198,1.033931935,0.061220058,0.59053903,3.752648706,146.29692,838.956772,273.03248,1.06929669,test
231,C6H12O2-E1,1.20398309,1.0763266,1.118603861,1.19057012,1.22594359,2.316855068,116.16008,879.611405,232.388435,0.739992598,train
232,C9H18O2-D2,0.894480325,0.866020581,1.032862665,0.081250432,0.801704196,3.572824837,158.24072,870.29948,267.759796,1.43195411,train
233,C7H17N,1.04475074,1.13219531,0.922765472,0.445224158,1.29485793,2.74225697,115.21872,772.654058,308.852398,1.01806317,train
235,C8H14O3,1.23163583,0.966357244,1.274513993,0.038934783,1.0000669,3.843907355,158.19736,962.631885,312.281878,1.46860235,train
244,C6H12O2-4,1.03578022,0.937561268,1.104760036,3.37897171,0.822874919,1.977017737,116.16008,863.541302,189.493579,0.570648465,test
245,C8H16O2-D2,0.845656367,0.788568443,1.072394381,0.586032825,0.637054472,2.773877342,144.21384,850.870258,259.89218,0.813163064,train
