,Index,NStage_T2,RR_T2,TopPres_T2,StoF_T2,DIST_C4H6_T2,RebDuty_T2,hasERROR_T2
238,268,8,1.2,5.0,5,0.9894053279999999,17809.7062,False
239,269,8,1.2,5.0,6,0.9844066770000001,18410.3362,False
240,270,8,1.2,5.0,7,0.976610547,18928.7275,False
241,271,8,1.2,5.0,8,0.965693149,19403.981,False
242,272,8,1.2,5.5,1,0.9948015659999999,9024.64019,False
243,273,8,1.2,5.5,2,0.9943527209999999,13703.5449,False
244,274,8,1.2,5.5,3,0.993593717,17069.3527,False
245,275,8,1.2,5.5,4,0.9916124709999999,17781.3453,False
246,276,8,1.2,5.5,5,0.988392468,18794.0644,False
247,277,8,1.2,5.5,6,0.983164769,19576.6749,False
248,278,8,1.2,5.5,7,0.975530275,20276.501,False
249,279,8,1.2,5.5,8,0.965408823,20936.7181,False
250,280,8,1.2,6.0,1,0.9947291909999999,9219.55723,False
251,282,8,1.2,6.0,3,0.9931937759999999,17642.2999,False
252,283,8,1.2,6.0,4,0.990851423,18533.945,False
253,284,8,1.2,6.0,5,0.987251715,19722.2843,False
254,285,8,1.2,6.0,6,0.9817277059999999,20676.8689,False
255,286,8,1.2,6.0,7,0.974069422,21548.651,False
256,287,8,1.2,6.0,8,0.9643752940000001,22383.5235,False
257,288,8,1.4,3.5,1,0.9949679109999999,8400.92111,False
258,289,8,1.4,3.5,2,0.994882453,12151.743999999999,False
259,290,8,1.4,3.5,3,0.994707178,14620.561000000002,False
260,291,8,1.4,3.5,4,0.9941052890000001,14464.742,False
261,292,8,1.4,3.5,5,0.9927499359999999,14649.1162,False
262,293,8,1.4,3.5,6,0.98957032,14637.1994,False
263,294,8,1.4,3.5,7,0.982673437,14563.2492,False
264,295,8,1.4,3.5,8,0.969645379,14433.5112,False
265,296,8,1.4,4.0,1,0.994945332,8647.70737,False
266,297,8,1.4,4.0,2,0.994804427,12660.4315,False
267,298,8,1.4,4.0,3,0.994532799,15385.8308,False
268,299,8,1.4,4.0,4,0.993688626,15478.1577,False
269,301,8,1.4,4.0,6,0.98863579,16104.9736,False
270,302,8,1.4,4.0,7,0.982388248,16242.9005,False
271,303,8,1.4,4.0,8,0.972067366,16339.5883,False
272,304,8,1.4,4.5,1,0.994917088,8874.702309999999,False
273,305,8,1.4,4.5,2,0.994714019,13124.32,False
274,306,8,1.4,4.5,3,0.9943436170000001,16080.5138,False
275,308,8,1.4,4.5,5,0.991362409,17028.8787,False
276,309,8,1.4,4.5,6,0.9878415970000001,17443.4797,False
277,310,8,1.4,4.5,7,0.9819754620000001,17786.4486,False
278,311,8,1.4,4.5,8,0.973112979,18091.2947,False
279,312,8,1.4,5.0,1,0.994880027,9086.892609999999,False
280,313,8,1.4,5.0,2,0.994598476,13557.7175,False
281,315,8,1.4,5.0,4,0.992799772,17249.7936,False
282,316,8,1.4,5.0,5,0.990594458,18081.7235,False
283,317,8,1.4,5.0,6,0.9868529,18691.4864,False
