Index,NStage_T1,RR_T1,TopPres_T1,StoF_T1,DIST_C4H8_T1,RebDuty_T1,hasERROR_T1
216,40,5,5,1,0.815618972,10395.0244,FALSE
217,40,5,5,2,0.913773797,14277.1407,FALSE
218,40,5,5,3,0.956418654,21320.4351,FALSE
219,40,5,5,4,0.974733149,28589.2957,FALSE
220,40,5,5,5,0.983325593,36140.1237,FALSE
221,40,5,5,6,0.98789488,43741.9742,FALSE
222,40,5,5,7,0.990617883,51343.1779,FALSE
223,40,5,5,8,0.992353431,58934.1139,FALSE
224,40,5,5.5,1,0.812414876,10521.9632,FALSE
225,40,5,5.5,2,0.910805249,14774.1072,FALSE
226,40,5,5.5,3,0.954108775,22281.4529,FALSE
227,40,5,5.5,4,0.972914093,29837.4533,FALSE
228,40,5,5.5,5,0.981897436,37596.3796,FALSE
229,40,5,5.5,6,0.986736053,45388.3873,FALSE
230,40,5,5.5,7,0.989615336,53170.1379,FALSE
231,40,5,5.5,8,0.9914719,60938.6107,FALSE
232,40,5,6,1,0.809187916,10646.3717,FALSE
233,40,5,6,2,0.907702593,15384.823,FALSE
234,40,5,6,3,0.951681188,23183.7576,FALSE
235,40,5,6,4,0.971028781,30988.2392,FALSE
236,40,5,6,5,0.98037749,38938.971,FALSE
237,40,5,6,6,0.985455863,46901.4104,FALSE
238,40,5,6,7,0.98852013,54853.3628,FALSE
239,40,5,6,8,0.990498292,62788.6362,FALSE
240,40,6,3.5,1,0.835674513,11380.6358,FALSE
241,40,6,3.5,2,0.928966193,14303.1174,FALSE
242,40,6,3.5,3,0.965849513,18536.8404,FALSE
243,40,6,3.5,4,0.980637069,25450.3241,FALSE
244,40,6,3.5,5,0.987556609,32153.1158,FALSE
245,40,6,3.5,6,0.991164703,39041.3553,FALSE
246,40,6,3.5,7,0.993283222,46001.6838,FALSE
247,40,6,3.5,8,0.994617479,52975.851,FALSE
248,40,6,4,1,0.832178077,11501.2048,FALSE
249,40,6,4,2,0.925815586,14738.2425,FALSE
250,40,6,4,3,0.963527962,19574.1673,FALSE
251,40,6,4,4,0.979048808,27102.4325,FALSE
252,40,6,4,5,0.986334009,34122.1397,FALSE
253,40,6,4,6,0.990192575,41283.3175,FALSE
254,40,6,4,7,0.992479427,48479.1299,FALSE
255,40,6,4,8,0.993931049,55676.998,FALSE
256,40,6,4.5,1,0.828607653,11617.194,FALSE
257,40,6,4.5,2,0.922574635,15169.3538,FALSE
258,40,6,4.5,3,0.960958802,21699.7379,FALSE
259,40,6,4.5,4,0.977315588,28578.4415,FALSE
260,40,6,4.5,5,0.984998489,35878.6927,FALSE
261,40,6,4.5,6,0.989122306,43274.6996,FALSE
262,40,6,4.5,7,0.991580566,50682.3473,FALSE
263,40,6,4.5,8,0.993160413,58082.2893,FALSE
264,40,6,5,1,0.824997,11729.5113,FALSE
265,40,6,5,2,0.91924756,15614.59,FALSE
266,40,6,5,3,0.958533352,22653.1212,FALSE
267,40,6,5,4,0.975464523,29921.8102,FALSE
268,40,6,5,5,0.983580065,37465.8851,FALSE
269,40,6,5,6,0.987961414,45066.914,FALSE
270,40,6,5,7,0.990609478,52667.6328,FALSE
271,40,6,5,8,0.992311824,60258.6848,FALSE
272,40,6,5.5,1,0.821364625,11839.3617,FALSE
273,40,6,5.5,2,0.915848881,16094.3331,FALSE
274,40,6,5.5,3,0.955955054,23594.3306,FALSE
275,40,6,5.5,4,0.973515592,31150.9994,FALSE
276,40,6,5.5,5,0.982048159,38905.4495,FALSE
277,40,6,5.5,6,0.986726914,46695.4354,FALSE
278,40,6,5.5,7,0.989548357,54477.1466,FALSE
279,40,6,5.5,8,0.991385928,62245.6964,FALSE
280,40,6,6,1,0.817728061,11947.4307,FALSE
281,40,6,6,2,0.912351255,16692.4316,FALSE
282,40,6,6,3,0.953296557,24484.0864,FALSE
283,40,6,6,4,0.971477481,32280.9271,FALSE
284,40,6,6,5,0.98042442,40229.6671,FALSE
285,40,6,6,6,0.985386134,48191.9951,FALSE
286,40,6,6,7,0.988399218,56143.3183,FALSE
287,40,6,6,8,0.990369971,64077.5883,FALSE
288,40,7,3.5,1,0.84204066,12770.5429,FALSE
289,40,7,3.5,2,0.932237745,15692.7859,FALSE
290,40,7,3.5,3,0.967093656,19922.9268,FALSE
291,40,7,3.5,4,0.981121015,26838.61,FALSE
292,40,7,3.5,5,0.987765926,33540.9063,FALSE
293,40,7,3.5,6,0.99126407,40424.8124,FALSE
294,40,7,3.5,7,0.993322363,47384.9101,FALSE
295,40,7,3.5,8,0.994641583,54353.7104,FALSE
296,40,7,4,1,0.838283382,12870.5766,FALSE
297,40,7,4,2,0.928805445,16105.3191,FALSE
298,40,7,4,3,0.964567549,20942.333,FALSE
299,40,7,4,4,0.979390673,28456.5947,FALSE
300,40,7,4,5,0.986447063,35484.3502,FALSE
301,40,7,4,6,0.990212519,42647.8014,FALSE
302,40,7,4,7,0.992455759,49840.785,FALSE
303,40,7,4,8,0.993904898,57035.9363,FALSE
304,40,7,4.5,1,0.834459309,12967.4006,FALSE
305,40,7,4.5,2,0.925299075,16519.0744,FALSE
306,40,7,4.5,3,0.961815451,23046.947,FALSE
307,40,7,4.5,4,0.977532181,29923.0222,FALSE
308,40,7,4.5,5,0.985018782,37221.3571,FALSE
309,40,7,4.5,6,0.989080934,44614.1183,FALSE
310,40,7,4.5,7,0.991518591,52023.794,FALSE
311,40,7,4.5,8,0.993090489,59425.0756,FALSE
312,40,7,5,1,0.830596794,13061.7188,FALSE
313,40,7,5,2,0.921736844,16944.9402,FALSE
314,40,7,5,3,0.959230837,23980.561,FALSE
315,40,7,5,4,0.975572814,31244.1426,FALSE
316,40,7,5,5,0.983525929,38789.7939,FALSE
317,40,7,5,6,0.987855859,46392.3208,FALSE
318,40,7,5,7,0.990489992,53993.2745,FALSE
319,40,7,5,8,0.992198107,61582.6043,FALSE
320,40,7,5.5,1,0.82672377,13154.4702,FALSE
321,40,7,5.5,2,0.918116029,17408.3268,FALSE
322,40,7,5.5,3,0.956506189,24903.4609,FALSE
323,40,7,5.5,4,0.973509928,32458.8004,FALSE
324,40,7,5.5,5,0.98190066,40214.7664,FALSE
325,40,7,5.5,6,0.986547868,48002.5864,FALSE
326,40,7,5.5,7,0.989378484,55784.1456,FALSE
327,40,7,5.5,8,0.991232728,63552.0979,FALSE
328,40,7,6,1,0.822847146,13246.2464,FALSE
329,40,7,6,2,0.914409906,17992.1111,FALSE
330,40,7,6,3,0.953697597,25777.6603,FALSE
331,40,7,6,4,0.971372164,33571.6185,FALSE
332,40,7,6,5,0.980193175,41520.098,FALSE
333,40,7,6,6,0.985147521,49481.9126,FALSE
334,40,7,6,7,0.988178431,57433.3157,FALSE
335,40,7,6,8,0.990176179,65367.7051,FALSE
336,40,8,3.5,1,0.845541657,14158.972,FALSE
337,40,8,3.5,2,0.933318845,17078.8975,FALSE
338,40,8,3.5,3,0.967251361,21305.9552,FALSE
339,40,8,3.5,4,0.981073372,28224.259,FALSE
340,40,8,3.5,5,0.98768539,34913.6147,FALSE
341,40,8,3.5,6,0.991190758,41809.2132,FALSE
342,40,8,3.5,7,0.993267689,48767.1491,FALSE
343,40,8,3.5,8,0.994590463,55738.8778,FALSE
344,40,8,4,1,0.841665557,14238.5056,FALSE
345,40,8,4,2,0.929747045,17470.8612,FALSE
346,40,8,4,3,0.964599584,22302.8375,FALSE
347,40,8,4,4,0.97924241,29817.9771,FALSE
348,40,8,4,5,0.98628446,36857.889,FALSE
349,40,8,4,6,0.990081487,44004.7136,FALSE
350,40,8,4,7,0.992354409,51205.3947,FALSE
351,40,8,4,8,0.993808763,58402.291,FALSE
352,40,8,4.5,1,0.837715084,14316.2072,FALSE
353,40,8,4.5,2,0.926112089,17865.1471,FALSE
354,40,8,4.5,3,0.961732763,24390.8485,FALSE
355,40,8,4.5,4,0.977288361,31266.9169,FALSE
356,40,8,4.5,5,0.984791449,38564.7376,FALSE
357,40,8,4.5,6,0.988892349,45957.1468,FALSE
358,40,8,4.5,7,0.991355239,53366.6072,FALSE
359,40,8,4.5,8,0.992959925,60767.6139,FALSE
360,40,8,5,1,0.833719988,14392.5291,FALSE
361,40,8,5,2,0.922425272,18272.7569,FALSE
362,40,8,5,3,0.959047137,25304.9915,FALSE
363,40,8,5,4,0.975240569,32570.3689,FALSE
