Index,NStage_T2,RR_T2,TopPres_T2,StoF_T2,DIST_C4H6_T2,RebDuty_T2,hasERROR_T2
401,8,1.8,4.5,2,0.994786674,13661.703,FALSE
402,8,1.8,4.5,3,0.994518458,16617.0573,FALSE
403,8,1.8,4.5,4,0.98076305,11720.5855,TRUE
404,8,1.8,4.5,5,0.992573716,17571.559,FALSE
405,8,1.8,4.5,6,0.990433783,17995.5608,FALSE
406,8,1.8,4.5,7,0.987003887,18354.6899,FALSE
407,8,1.8,4.5,8,0.981891152,18688.8965,FALSE
408,8,1.8,5,1,0.994909094,9622.89413,FALSE
409,8,1.8,5,2,0.99469783,14088.1078,FALSE
410,8,1.8,5,3,0.9815469,-11071.4455,TRUE
411,8,1.8,5,4,0.993438028,17787.0595,FALSE
412,8,1.8,5,5,0.991979298,18627.1482,FALSE
413,8,1.8,5,6,0.989602259,19249.5558,FALSE
414,8,1.8,5,7,0.986034333,19802.15,FALSE
415,8,1.8,5,8,0.981044212,20329.213,FALSE
416,8,1.8,5.5,1,0.994871997,9816.1258,FALSE
417,8,1.8,5.5,2,0.994585858,14490.1027,FALSE
418,8,1.8,5.5,3,0.994116818,17863.2499,FALSE
419,8,1.8,5.5,4,0.993003102,18586.0346,FALSE
420,8,1.8,5.5,5,0.991291267,19617.3589,FALSE
421,8,1.8,5.5,6,0.988641693,20425.2486,FALSE
422,8,1.8,5.5,7,0.984871015,21160.8979,FALSE
423,8,1.8,5.5,8,0.979854665,21869.3521,FALSE
424,8,1.8,6,1,0.994823462,10000.7088,FALSE
425,8,1.8,6,2,0.994951545,-4214.68637,TRUE
426,8,1.8,6,3,0.993848783,18433.4225,FALSE
427,8,1.8,6,4,0.992494877,19340.8259,FALSE
428,8,1.8,6,5,0.990501157,20551.0299,FALSE
429,8,1.8,6,6,0.987548958,21534.01,FALSE
430,8,1.8,6,7,0.983525132,22443.0688,FALSE
431,8,1.8,6,8,0.9783823,23323.4193,FALSE
432,8,2,3.5,1,0.994978949,9243.11361,FALSE
433,8,2,3.5,2,0.994924289,12984.4566,FALSE
434,8,2,3.5,3,0.994817774,15443.6785,FALSE
435,8,2,3.5,4,0.994498581,15275.3425,FALSE
436,8,2,3.5,5,0.993862995,15453.5538,FALSE
437,8,2,3.5,6,0.728684671,30932.444,TRUE
438,8,2,3.5,7,0.990089105,15371.3312,FALSE
439,8,2,3.5,8,0.985599308,15297.2867,FALSE
440,8,2,4,1,0.994963862,9476.33132,FALSE
441,8,2,4,2,0.994872739,13478.9611,FALSE
442,8,2,4,3,0.994703619,16199.1485,FALSE
443,8,2,4,4,0.994236057,16288.4195,FALSE
444,8,2,4,5,0.739989231,-5917.27939,TRUE
445,8,2,4,6,0.991828961,16923.6738,FALSE
446,8,2,4,7,0.989169432,17080.7287,FALSE
447,8,2,4,8,0.984920877,17220.9735,FALSE
448,8,2,4.5,1,0.994944699,9690.96614,FALSE
449,8,2,4.5,2,0.994811408,13931.5501,FALSE
450,8,2,4.5,3,0.994576655,16886.3774,FALSE
451,8,2,4.5,4,0.99164121,10861.9886,TRUE
452,8,2,4.5,5,0.99294096,17843.7459,FALSE
453,8,2,4.5,6,0.991186691,18271.6058,FALSE
454,8,2,4.5,7,0.988420702,18636.2412,FALSE
455,8,2,4.5,8,0.98434283,18979.9364,FALSE
456,8,2,5,1,0.994919103,9891.73136,FALSE
457,8,2,5,2,0.99473201,14355.045,FALSE
458,8,2,5,3,0.994888678,24885.2408,TRUE
459,8,2,5,4,0.993644727,18055.9436,FALSE
460,8,2,5,5,0.992411867,18899.9872,FALSE
461,8,2,5,6,0.99043188,19527.3831,FALSE
462,8,2,5,7,0.98749515,20087.0478,FALSE
463,8,2,5,8,0.983416611,20622.6423,FALSE
464,8,2,5.5,1,0.994886009,10081.2727,FALSE
