hyper,ave_epoch,epoch,ave_indicator,indicator,ave_score,socre
"(1, 20, 'tanh')",395.0,"[411, 408, 236, 382, 538]",0.9442549491457191,"[0.9445871739214119, 0.9325286495099965, 0.9180506715123197, 0.9568998239824118, 0.9692084268024556]",0.028640196,"[0.028633038, 0.033414237, 0.0336674, 0.023171883, 0.024314417]"
"(1, 21, 'elu')",440.8,"[591, 493, 360, 297, 463]",0.9635392758098347,"[0.970367261773278, 0.9718679859918572, 0.9492642198524764, 0.9586569112578652, 0.967540000173696]",0.023332905,"[0.020938626, 0.021576066, 0.026490739, 0.022694636, 0.024964461]"
"(1, 21, 'sigmoid')",277.0,"[47, 41, 25, 947, 325]",0.7773683906013211,"[0.7248093739710528, 0.7488363571774166, 0.48532623558618115, 0.9632238346492819, 0.9646461516226731]",0.052021675,"[0.06380858, 0.06446889, 0.08437289, 0.021404497, 0.026053512]"
"(1, 21, 'softplus')",412.6,"[511, 853, 262, 228, 209]",0.9522048313049826,"[0.9611667225298176, 0.9693558548455649, 0.9075613937306031, 0.9563391391561178, 0.9666010462628098]",0.026178181,"[0.023969796, 0.022518817, 0.03575721, 0.023322117, 0.025322955]"
"(1, 21, 'tanh')",395.8,"[411, 379, 207, 454, 528]",0.9382858740497164,"[0.9395662869370381, 0.9446188389560493, 0.8911384877635901, 0.955224402723806, 0.9608813538680981]",0.030000467,"[0.029902115, 0.03027282, 0.038803786, 0.023617966, 0.027405635]"
"(1, 22, 'elu')",328.8,"[34, 623, 426, 328, 233]",0.8456864585047403,"[0.3911167276419385, 0.9724442899845493, 0.9469734822179696, 0.963831554656752, 0.9540662380224922]",0.038854778,"[0.09491379, 0.02135392, 0.027082171, 0.021226905, 0.029697094]"
"(1, 22, 'sigmoid')",342.6,"[45, 40, 811, 549, 268]",0.8736195579309494,"[0.72910720115634, 0.7511223812641231, 0.9611818948536981, 0.9623147448764378, 0.9643715675041478]",0.039695323,"[0.06330836, 0.06417483, 0.023171496, 0.021667438, 0.026154492]"
"(1, 22, 'softplus')",428.6,"[806, 575, 130, 407, 225]",0.9481165073035991,"[0.969584371198186, 0.9628012618424424, 0.8843959531659056, 0.9574561619427645, 0.9663447883686971]",0.026890624,"[0.02121342, 0.024810523, 0.039987426, 0.023021845, 0.025419913]"
"(1, 22, 'tanh')",366.8,"[323, 473, 523, 257, 258]",0.944406773187823,"[0.9385782010143123, 0.9541207394108493, 0.9423828452561253, 0.9498492113397323, 0.9371028689180957]",0.029135104,"[0.030145574, 0.027553707, 0.028230127, 0.024995433, 0.034750685]"
"(1, 23, 'elu')",311.8,"[33, 555, 353, 254, 364]",0.8300721031014628,"[0.315019142199611, 0.9691438056557137, 0.9406320354809968, 0.9556037938945601, 0.9699617382764326]",0.039891124,"[0.10067034, 0.022596594, 0.02865583, 0.023517694, 0.024015151]"
